iter	Passed	Remaining
0	56	56672
1	57	28595
2	57	19205
3	58	14484
4	58	11662
5	59	9783
6	59	8433
7	59	7420
8	60	6631
9	60	6014
10	61	5502
11	61	5073
12	62	4713
13	62	4413
14	63	4146
15	63	3910
16	63	3699
17	64	3513
18	64	3346
19	65	3196
20	65	3061
21	66	2941
22	66	2826
23	66	2720
24	67	2624
25	67	2537
26	68	2456
27	68	2381
28	68	2309
29	69	2243
30	69	2180
31	70	2123
32	70	2071
33	71	2019
34	71	1971
35	71	1926
36	72	1884
37	72	1843
38	73	1806
39	73	1769
40	74	1734
41	74	1701
42	75	1670
43	75	1638
44	75	1609
45	76	1583
46	76	1555
47	77	1529
48	77	1504
49	77	1480
50	78	1456
51	78	1434
52	79	1413
53	79	1392
54	79	1372
55	80	1353
56	80	1336
57	81	1318
58	81	1301
59	82	1286
60	82	1271
61	83	1257
62	83	1241
63	83	1226
64	84	1212
65	84	1199
66	85	1187
67	85	1176
68	86	1165
69	86	1152
70	87	1140
71	87	1128
72	87	1117
73	88	1106
74	88	1095
75	89	1084
76	89	1075
77	90	1064
78	90	1055
79	90	1045
80	91	1037
81	91	1028
82	92	1017
83	92	1008
84	92	999
85	93	991
86	93	984
87	94	976
88	94	969
89	95	961
90	95	954
91	95	946
92	96	939
93	96	932
94	97	925
95	97	918
96	97	911
97	98	904
98	98	898
99	99	892
100	99	885
101	99	879
102	100	873
103	100	868
104	101	863
105	101	857
106	102	852
107	102	847
108	103	842
109	103	837
110	103	831
111	104	826
112	104	822
113	105	817
114	105	812
115	106	808
116	106	802
117	106	797
118	107	793
119	107	788
120	107	783
121	108	778
122	108	773
123	108	769
124	109	765
125	109	761
126	110	757
127	110	753
128	111	749
129	111	747
130	112	743
131	112	739
132	112	735
133	113	731
134	113	727
135	113	724
136	114	720
137	114	716
138	115	713
139	115	709
140	115	706
141	116	701
142	116	698
143	116	694
144	117	691
145	117	688
146	118	685
147	118	682
148	118	679
149	119	676
150	119	673
151	120	670
152	120	668
153	121	666
154	121	663
155	122	660
156	122	658
157	123	655
158	123	652
159	123	649
160	123	646
161	124	643
162	124	640
163	125	637
164	125	635
165	125	632
166	126	630
167	126	628
168	127	625
169	127	623
170	128	620
171	128	618
172	128	616
173	129	613
174	129	611
175	130	609
176	130	607
177	130	604
178	131	602
179	131	600
180	132	598
181	132	596
182	133	594
183	133	591
184	133	589
185	134	587
186	134	585
187	135	583
188	135	581
189	135	579
190	136	577
191	136	575
192	137	573
193	137	571
194	138	570
195	138	568
196	138	566
197	139	564
198	139	562
199	140	561
200	140	559
201	141	557
202	141	555
203	141	553
204	142	551
205	142	550
206	143	548
207	143	546
208	143	544
209	144	543
210	144	541
211	145	539
212	145	537
213	145	536
214	146	534
215	146	532
216	147	530
217	147	529
218	148	527
219	148	526
220	148	524
221	149	523
222	149	522
223	150	520
